Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
grade,SPI,CTGAN,-0.041,-0.070,-0.010,True
grade,SPI,REaLTabFormer,-0.041,-0.070,0.040,True
grade,SPI,Tabula_GPT2,-0.041,-0.040,0.060,False
grade,SPI,TapTap_DistilGPT2,-0.041,-0.060,-0.020,True
grade,SMS,TapTap_GPT2,0.085,0.050,0.100,True
grade,SMS,TabSyn,0.085,0.010,0.080,False
grade,SMS,PredLLM_GPT2,0.085,0.040,0.120,True
grade,SMS,TabDiff,0.085,0.060,0.110,True
grade,SMS,GReaT_GPT2,0.085,0.020,0.120,True
grade,SMS,Tabula_DistilGPT2,0.085,-0.070,0.030,False
grade,SMS,GReaT_DistilGPT2,0.085,0.010,0.080,False
grade,SMS,PredLLM_DistilGPT2,0.085,0.040,0.140,True
grade,SMS,CTGAN,0.085,0.040,0.140,True
grade,SMS,REaLTabFormer,0.085,0.030,0.080,False
grade,SMS,Tabula_GPT2,0.085,0.010,0.080,False
grade,SMS,TapTap_DistilGPT2,0.085,0.040,0.090,True
age,SMP,TapTap_GPT2,0.079,0.030,0.140,True
age,SMP,TabSyn,0.079,0.020,0.130,True
age,SMP,PredLLM_GPT2,0.079,0.030,0.150,True
age,SMP,TabDiff,0.079,0.010,0.080,True
age,SMP,GReaT_GPT2,0.079,0.010,0.080,True
age,SMP,Tabula_DistilGPT2,0.079,0.000,0.080,True
age,SMP,GReaT_DistilGPT2,0.079,-0.020,0.050,False
age,SMP,PredLLM_DistilGPT2,0.079,0.010,0.120,True
age,SMP,CTGAN,0.079,0.070,0.290,True
age,SMP,REaLTabFormer,0.079,-0.060,0.020,False
age,SMP,Tabula_GPT2,0.079,0.020,0.070,False
age,SMP,TapTap_DistilGPT2,0.079,0.060,0.100,True
age,SPI,TapTap_GPT2,-0.011,-0.090,0.000,True
age,SPI,TabSyn,-0.011,-0.040,0.020,True
age,SPI,PredLLM_GPT2,-0.011,-0.060,0.090,True
age,SPI,TabDiff,-0.011,-0.030,0.100,True
age,SPI,GReaT_GPT2,-0.011,-0.050,0.060,True
age,SPI,Tabula_DistilGPT2,-0.011,-0.050,0.040,True
age,SPI,GReaT_DistilGPT2,-0.011,-0.030,0.050,True
age,SPI,PredLLM_DistilGPT2,-0.011,-0.060,0.040,True
age,SPI,CTGAN,-0.011,-0.120,0.150,True
age,SPI,REaLTabFormer,-0.011,-0.020,0.110,True
age,SPI,Tabula_GPT2,-0.011,-0.060,0.040,True
age,SPI,TapTap_DistilGPT2,-0.011,-0.120,0.070,True
age,SMS,TapTap_GPT2,0.003,-0.030,0.010,True
age,SMS,TabSyn,0.003,-0.040,0.040,True
age,SMS,PredLLM_GPT2,0.003,0.030,0.150,False
age,SMS,TabDiff,0.003,-0.070,0.000,False
age,SMS,GReaT_GPT2,0.003,0.000,0.060,True
age,SMS,Tabula_DistilGPT2,0.003,-0.040,0.040,True
age,SMS,GReaT_DistilGPT2,0.003,-0.050,0.020,True
age,SMS,PredLLM_DistilGPT2,0.003,0.000,0.080,True
age,SMS,CTGAN,0.003,0.040,0.140,False
age,SMS,REaLTabFormer,0.003,-0.140,0.000,False
age,SMS,Tabula_GPT2,0.003,-0.030,0.010,True
age,SMS,TapTap_DistilGPT2,0.003,-0.030,0.060,True
ESCS,SMP,TapTap_GPT2,0.385,0.450,0.510,False
ESCS,SMP,TabSyn,0.385,0.360,0.450,True
ESCS,SMP,PredLLM_GPT2,0.385,0.390,0.430,False
ESCS,SMP,TabDiff,0.385,0.260,0.370,False
ESCS,SMP,GReaT_GPT2,0.385,0.200,0.270,False
ESCS,SMP,Tabula_DistilGPT2,0.385,0.230,0.290,False
ESCS,SMP,GReaT_DistilGPT2,0.385,0.230,0.330,False
ESCS,SMP,PredLLM_DistilGPT2,0.385,0.330,0.470,True
ESCS,SMP,CTGAN,0.385,0.360,0.440,True
ESCS,SMP,REaLTabFormer,0.385,0.400,0.480,False
ESCS,SMP,Tabula_GPT2,0.385,0.240,0.300,False
ESCS,SMP,TapTap_DistilGPT2,0.385,0.450,0.500,False
ESCS,SPI,TapTap_GPT2,-0.081,-0.090,0.010,True
ESCS,SPI,TabSyn,-0.081,-0.180,-0.140,False
ESCS,SPI,PredLLM_GPT2,-0.081,0.010,0.110,False
ESCS,SPI,TabDiff,-0.081,-0.100,0.000,True
ESCS,SPI,GReaT_GPT2,-0.081,-0.100,0.000,True
ESCS,SPI,Tabula_DistilGPT2,-0.081,-0.130,-0.030,True
ESCS,SPI,GReaT_DistilGPT2,-0.081,-0.140,-0.010,True
ESCS,SPI,PredLLM_DistilGPT2,-0.081,0.030,0.130,False
ESCS,SPI,CTGAN,-0.081,-0.120,-0.010,True
ESCS,SPI,REaLTabFormer,-0.081,-0.080,-0.020,False
ESCS,SPI,Tabula_GPT2,-0.081,-0.050,0.030,False
ESCS,SPI,TapTap_DistilGPT2,-0.081,-0.120,-0.050,True
ESCS,SMS,TapTap_GPT2,0.046,0.130,0.210,False
ESCS,SMS,TabSyn,0.046,0.060,0.110,False
ESCS,SMS,PredLLM_GPT2,0.046,0.080,0.160,False
ESCS,SMS,TabDiff,0.046,-0.010,0.080,True
ESCS,SMS,GReaT_GPT2,0.046,-0.010,0.060,True
ESCS,SMS,Tabula_DistilGPT2,0.046,0.030,0.110,True
ESCS,SMS,GReaT_DistilGPT2,0.046,-0.010,0.030,False
ESCS,SMS,PredLLM_DistilGPT2,0.046,0.060,0.180,False
ESCS,SMS,CTGAN,0.046,-0.070,0.030,False
ESCS,SMS,REaLTabFormer,0.046,0.130,0.210,False
ESCS,SMS,Tabula_GPT2,0.046,0.050,0.070,False
ESCS,SMS,TapTap_DistilGPT2,0.046,0.150,0.220,False
motherEdu,SMP,TapTap_GPT2,0.183,0.220,0.310,False
motherEdu,SMP,TabSyn,0.183,0.120,0.240,True
motherEdu,SMP,PredLLM_GPT2,0.183,0.280,0.330,False
motherEdu,SMP,TabDiff,0.183,0.080,0.220,True
motherEdu,SMP,GReaT_GPT2,0.183,0.040,0.120,False
motherEdu,SMP,Tabula_DistilGPT2,0.183,0.070,0.160,False
motherEdu,SMP,GReaT_DistilGPT2,0.183,0.060,0.180,False
motherEdu,SMP,PredLLM_DistilGPT2,0.183,0.190,0.360,False
motherEdu,SMP,CTGAN,0.183,0.150,0.310,True
motherEdu,SMP,REaLTabFormer,0.183,0.330,0.450,False
motherEdu,SMP,Tabula_GPT2,0.183,0.040,0.160,False
motherEdu,SMP,TapTap_DistilGPT2,0.183,0.250,0.320,False
motherEdu,SPI,TapTap_GPT2,-0.011,-0.040,0.020,True
motherEdu,SPI,TabSyn,-0.011,-0.090,-0.040,False
motherEdu,SPI,PredLLM_GPT2,-0.011,0.040,0.130,False
motherEdu,SPI,TabDiff,-0.011,-0.090,0.080,True
motherEdu,SPI,GReaT_GPT2,-0.011,-0.070,0.090,True
motherEdu,SPI,Tabula_DistilGPT2,-0.011,-0.100,-0.020,False
motherEdu,SPI,GReaT_DistilGPT2,-0.011,-0.100,-0.010,True
motherEdu,SPI,PredLLM_DistilGPT2,-0.011,0.000,0.100,False
motherEdu,SPI,CTGAN,-0.011,-0.100,0.000,True
motherEdu,SPI,REaLTabFormer,-0.011,-0.040,0.020,True
motherEdu,SPI,Tabula_GPT2,-0.011,-0.020,0.060,True
motherEdu,SPI,TapTap_DistilGPT2,-0.011,-0.050,0.010,True
motherEdu,SMS,TapTap_GPT2,0.043,0.070,0.160,False
motherEdu,SMS,TabSyn,0.043,0.040,0.110,True
motherEdu,SMS,PredLLM_GPT2,0.043,0.080,0.150,False
motherEdu,SMS,TabDiff,0.043,0.010,0.060,True
motherEdu,SMS,GReaT_GPT2,0.043,-0.040,0.030,False
motherEdu,SMS,Tabula_DistilGPT2,0.043,0.020,0.110,True
motherEdu,SMS,GReaT_DistilGPT2,0.043,-0.060,0.020,False
motherEdu,SMS,PredLLM_DistilGPT2,0.043,0.040,0.110,True
motherEdu,SMS,CTGAN,0.043,-0.070,0.050,True
motherEdu,SMS,REaLTabFormer,0.043,0.170,0.330,False
motherEdu,SMS,Tabula_GPT2,0.043,-0.020,0.070,True
motherEdu,SMS,TapTap_DistilGPT2,0.043,0.070,0.170,False
immig,SMP,TapTap_GPT2,0.059,-0.010,0.100,True
immig,SMP,TabSyn,0.059,0.050,0.120,True
immig,SMP,PredLLM_GPT2,0.059,0.020,0.110,True
immig,SMP,TabDiff,0.059,0.020,0.100,True
immig,SMP,GReaT_GPT2,0.059,-0.080,-0.030,False
immig,SMP,Tabula_DistilGPT2,0.059,-0.190,-0.130,False
immig,SMP,GReaT_DistilGPT2,0.059,-0.070,-0.040,False
immig,SMP,PredLLM_DistilGPT2,0.059,-0.030,0.120,True
immig,SMP,CTGAN,0.059,0.070,0.140,False
immig,SMP,REaLTabFormer,0.059,0.020,0.140,True
immig,SMP,Tabula_GPT2,0.059,-0.190,-0.070,False
immig,SMP,TapTap_DistilGPT2,0.059,0.000,0.080,True
immig,SPI,TapTap_GPT2,0.128,0.110,0.180,True
immig,SPI,TabSyn,0.128,0.010,0.120,False
immig,SPI,PredLLM_GPT2,0.128,0.200,0.300,False
immig,SPI,TabDiff,0.128,0.070,0.160,True
immig,SPI,GReaT_GPT2,0.128,0.110,0.210,True
immig,SPI,Tabula_DistilGPT2,0.128,0.070,0.140,True
immig,SPI,GReaT_DistilGPT2,0.128,0.130,0.200,False
immig,SPI,PredLLM_DistilGPT2,0.128,0.150,0.300,False
immig,SPI,CTGAN,0.128,0.020,0.110,False
immig,SPI,REaLTabFormer,0.128,0.190,0.300,False
immig,SPI,Tabula_GPT2,0.128,0.120,0.180,True
immig,SPI,TapTap_DistilGPT2,0.128,0.080,0.180,True
immig,SMS,TapTap_GPT2,0.012,-0.050,0.080,True
immig,SMS,TabSyn,0.012,0.010,0.100,True
immig,SMS,PredLLM_GPT2,0.012,0.010,0.060,True
immig,SMS,TabDiff,0.012,0.000,0.080,True
immig,SMS,GReaT_GPT2,0.012,-0.050,0.050,True
immig,SMS,Tabula_DistilGPT2,0.012,-0.050,0.010,False
immig,SMS,GReaT_DistilGPT2,0.012,-0.050,0.000,False
immig,SMS,PredLLM_DistilGPT2,0.012,-0.040,0.070,True
immig,SMS,CTGAN,0.012,-0.040,0.100,True
immig,SMS,REaLTabFormer,0.012,-0.150,-0.060,False
immig,SMS,Tabula_GPT2,0.012,-0.060,0.010,False
immig,SMS,TapTap_DistilGPT2,0.012,0.000,0.100,True
classSize,SMP,TapTap_GPT2,0.107,0.050,0.220,True
classSize,SMP,TabSyn,0.107,0.050,0.160,True
classSize,SMP,PredLLM_GPT2,0.107,-0.030,0.140,True
classSize,SMP,TabDiff,0.107,0.080,0.150,True
classSize,SMP,GReaT_GPT2,0.107,0.010,0.130,True
classSize,SMP,Tabula_DistilGPT2,0.107,0.090,0.150,True
classSize,SMP,GReaT_DistilGPT2,0.107,0.020,0.130,True
classSize,SMP,PredLLM_DistilGPT2,0.107,0.060,0.090,False
classSize,SMP,CTGAN,0.107,0.070,0.130,True
classSize,SMP,REaLTabFormer,0.107,0.010,0.090,False
classSize,SMP,Tabula_GPT2,0.107,0.110,0.150,False
classSize,SMP,TapTap_DistilGPT2,0.107,0.110,0.170,False
classSize,SPI,TapTap_GPT2,-0.165,-0.120,-0.050,False
classSize,SPI,TabSyn,-0.165,-0.170,-0.120,True
classSize,SPI,PredLLM_GPT2,-0.165,-0.070,0.000,False
classSize,SPI,TabDiff,-0.165,-0.230,-0.110,True
classSize,SPI,GReaT_GPT2,-0.165,-0.100,0.060,False
classSize,SPI,Tabula_DistilGPT2,-0.165,-0.090,0.000,False
classSize,SPI,GReaT_DistilGPT2,-0.165,-0.170,-0.090,True
classSize,SPI,PredLLM_DistilGPT2,-0.165,-0.050,0.000,False
classSize,SPI,CTGAN,-0.165,-0.250,-0.180,False
classSize,SPI,REaLTabFormer,-0.165,-0.300,-0.210,False
classSize,SPI,Tabula_GPT2,-0.165,-0.240,-0.150,True
classSize,SPI,TapTap_DistilGPT2,-0.165,-0.180,-0.070,True
classSize,SMS,TapTap_GPT2,0.030,-0.020,0.100,True
classSize,SMS,TabSyn,0.030,-0.050,0.050,True
classSize,SMS,PredLLM_GPT2,0.030,-0.060,0.050,True
classSize,SMS,TabDiff,0.030,0.010,0.080,True
classSize,SMS,GReaT_GPT2,0.030,-0.010,0.110,True
classSize,SMS,Tabula_DistilGPT2,0.030,-0.050,0.050,True
classSize,SMS,GReaT_DistilGPT2,0.030,0.000,0.070,True
classSize,SMS,PredLLM_DistilGPT2,0.030,-0.060,0.080,True
classSize,SMS,CTGAN,0.030,0.050,0.110,False
classSize,SMS,REaLTabFormer,0.030,0.030,0.080,True
classSize,SMS,Tabula_GPT2,0.030,-0.060,0.070,True
classSize,SMS,TapTap_DistilGPT2,0.030,0.020,0.050,True
schoolSize,SMP,TapTap_GPT2,0.116,0.000,0.150,True
schoolSize,SMP,TabSyn,0.116,0.100,0.190,True
schoolSize,SMP,PredLLM_GPT2,0.116,-0.020,0.110,False
schoolSize,SMP,TabDiff,0.116,0.050,0.120,True
schoolSize,SMP,GReaT_GPT2,0.116,0.000,0.080,False
schoolSize,SMP,Tabula_DistilGPT2,0.116,-0.030,0.060,False
schoolSize,SMP,GReaT_DistilGPT2,0.116,-0.010,0.050,False
schoolSize,SMP,PredLLM_DistilGPT2,0.116,-0.020,0.120,True
schoolSize,SMP,CTGAN,0.116,0.100,0.170,True
schoolSize,SMP,REaLTabFormer,0.116,0.100,0.180,True
schoolSize,SMP,Tabula_GPT2,0.116,-0.100,0.030,False
schoolSize,SMP,TapTap_DistilGPT2,0.116,0.070,0.130,True
schoolSize,SPI,TapTap_GPT2,0.018,-0.050,0.010,False
schoolSize,SPI,TabSyn,0.018,-0.120,0.010,False
schoolSize,SPI,PredLLM_GPT2,0.018,0.190,0.280,False
schoolSize,SPI,TabDiff,0.018,-0.040,0.090,True
schoolSize,SPI,GReaT_GPT2,0.018,-0.110,0.000,False
schoolSize,SPI,Tabula_DistilGPT2,0.018,-0.080,0.020,True
schoolSize,SPI,GReaT_DistilGPT2,0.018,-0.060,-0.010,False
schoolSize,SPI,PredLLM_DistilGPT2,0.018,0.220,0.330,False
schoolSize,SPI,CTGAN,0.018,-0.030,0.100,True
schoolSize,SPI,REaLTabFormer,0.018,0.280,0.380,False
schoolSize,SPI,Tabula_GPT2,0.018,0.040,0.140,False
schoolSize,SPI,TapTap_DistilGPT2,0.018,-0.140,-0.020,False
schoolSize,SMS,TapTap_GPT2,-0.057,-0.050,0.080,False
schoolSize,SMS,TabSyn,-0.057,-0.090,0.000,True
schoolSize,SMS,PredLLM_GPT2,-0.057,-0.030,0.040,False
schoolSize,SMS,TabDiff,-0.057,-0.090,-0.050,True
schoolSize,SMS,GReaT_GPT2,-0.057,-0.090,-0.010,True
schoolSize,SMS,Tabula_DistilGPT2,-0.057,-0.060,0.010,True
schoolSize,SMS,GReaT_DistilGPT2,-0.057,-0.070,-0.030,True
schoolSize,SMS,PredLLM_DistilGPT2,-0.057,0.020,0.050,False
schoolSize,SMS,CTGAN,-0.057,-0.060,0.050,True
schoolSize,SMS,REaLTabFormer,-0.057,-0.050,0.010,False
schoolSize,SMS,Tabula_GPT2,-0.057,-0.090,0.010,True
schoolSize,SMS,TapTap_DistilGPT2,-0.057,0.000,0.100,False
