Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
PredLLM_DistilGPT2,gender,SMP,0.039,0.039,-0.010,0.029
PredLLM_GPT2,gender,SMP,0.055,0.055,-0.010,0.044
TabSyn,gender,SMP,0.007,-0.007,-0.010,-0.017
TabDiff,gender,SMP,0.029,0.029,-0.010,0.019
REaLTabFormer,gender,SMP,0.036,0.036,-0.010,0.026
CTGAN,gender,SPI,0.038,0.038,-0.037,0.002
GReaT_DistilGPT2,gender,SPI,0.008,0.008,-0.037,-0.029
GReaT_GPT2,gender,SPI,0.004,-0.004,-0.037,-0.041
Tabula_DistilGPT2,gender,SPI,0.014,0.014,-0.037,-0.022
Tabula_GPT2,gender,SPI,0.052,-0.052,-0.037,-0.089
TapTap_DistilGPT2,gender,SPI,0.007,0.007,-0.037,-0.030
TapTap_GPT2,gender,SPI,0.008,0.008,-0.037,-0.029
PredLLM_DistilGPT2,gender,SPI,0.025,-0.025,-0.037,-0.061
PredLLM_GPT2,gender,SPI,0.025,-0.025,-0.037,-0.062
TabSyn,gender,SPI,0.042,0.042,-0.037,0.006
TabDiff,gender,SPI,0.007,0.007,-0.037,-0.029
REaLTabFormer,gender,SPI,0.011,-0.011,-0.037,-0.047
CTGAN,gender,SMS,0.046,-0.046,0.105,0.059
GReaT_DistilGPT2,gender,SMS,0.020,-0.020,0.105,0.085
GReaT_GPT2,gender,SMS,0.026,0.026,0.105,0.131
Tabula_DistilGPT2,gender,SMS,0.017,-0.017,0.105,0.088
Tabula_GPT2,gender,SMS,0.026,-0.026,0.105,0.079
TapTap_DistilGPT2,gender,SMS,0.024,-0.024,0.105,0.081
TapTap_GPT2,gender,SMS,0.014,-0.014,0.105,0.091
PredLLM_DistilGPT2,gender,SMS,0.010,-0.010,0.105,0.095
PredLLM_GPT2,gender,SMS,0.000,-0.000,0.105,0.105
TabSyn,gender,SMS,0.011,-0.011,0.105,0.094
TabDiff,gender,SMS,0.012,0.012,0.105,0.118
REaLTabFormer,gender,SMS,0.007,-0.007,0.105,0.098
CTGAN,grade,SMP,0.017,0.017,0.199,0.216
GReaT_DistilGPT2,grade,SMP,0.054,-0.054,0.199,0.145
GReaT_GPT2,grade,SMP,0.032,-0.032,0.199,0.167
Tabula_DistilGPT2,grade,SMP,0.096,-0.096,0.199,0.103
Tabula_GPT2,grade,SMP,0.052,-0.052,0.199,0.147
TapTap_DistilGPT2,grade,SMP,0.009,-0.009,0.199,0.190
TapTap_GPT2,grade,SMP,0.016,0.016,0.199,0.214
PredLLM_DistilGPT2,grade,SMP,0.052,-0.052,0.199,0.147
PredLLM_GPT2,grade,SMP,0.050,-0.050,0.199,0.148
TabSyn,grade,SMP,0.027,-0.027,0.199,0.172
TabDiff,grade,SMP,0.023,-0.023,0.199,0.175
REaLTabFormer,grade,SMP,0.136,-0.136,0.199,0.063
CTGAN,grade,SPI,0.002,0.002,-0.041,-0.039
GReaT_DistilGPT2,grade,SPI,0.046,0.046,-0.041,0.005
GReaT_GPT2,grade,SPI,0.023,0.023,-0.041,-0.018
Tabula_DistilGPT2,grade,SPI,0.042,0.042,-0.041,0.002
Tabula_GPT2,grade,SPI,0.039,0.039,-0.041,-0.002
TapTap_DistilGPT2,grade,SPI,0.010,-0.010,-0.041,-0.051
TapTap_GPT2,grade,SPI,0.002,-0.002,-0.041,-0.042
PredLLM_DistilGPT2,grade,SPI,0.014,-0.014,-0.041,-0.055
PredLLM_GPT2,grade,SPI,0.006,0.006,-0.041,-0.035
TabSyn,grade,SPI,0.009,0.009,-0.041,-0.032
TabDiff,grade,SPI,0.031,0.031,-0.041,-0.010
REaLTabFormer,grade,SPI,0.008,0.008,-0.041,-0.033
CTGAN,grade,SMS,0.013,0.013,0.085,0.098
GReaT_DistilGPT2,grade,SMS,0.029,-0.029,0.085,0.056
GReaT_GPT2,grade,SMS,0.006,-0.006,0.085,0.079
Tabula_DistilGPT2,grade,SMS,0.090,-0.090,0.085,-0.005
Tabula_GPT2,grade,SMS,0.039,-0.039,0.085,0.046
TapTap_DistilGPT2,grade,SMS,0.018,-0.018,0.085,0.067
TapTap_GPT2,grade,SMS,0.011,-0.011,0.085,0.074
PredLLM_DistilGPT2,grade,SMS,0.001,0.001,0.085,0.086
PredLLM_GPT2,grade,SMS,0.005,-0.005,0.085,0.080
TabSyn,grade,SMS,0.040,-0.040,0.085,0.045
TabDiff,grade,SMS,0.004,0.004,0.085,0.089
REaLTabFormer,grade,SMS,0.040,-0.040,0.085,0.045
CTGAN,age,SMP,0.086,0.086,0.079,0.165
GReaT_DistilGPT2,age,SMP,0.064,-0.064,0.079,0.015
GReaT_GPT2,age,SMP,0.026,-0.026,0.079,0.053
Tabula_DistilGPT2,age,SMP,0.039,-0.039,0.079,0.041
Tabula_GPT2,age,SMP,0.030,-0.030,0.079,0.050
TapTap_DistilGPT2,age,SMP,0.001,0.001,0.079,0.081
TapTap_GPT2,age,SMP,0.006,-0.006,0.079,0.073
PredLLM_DistilGPT2,age,SMP,0.030,-0.030,0.079,0.049
PredLLM_GPT2,age,SMP,0.007,0.007,0.079,0.086
TabSyn,age,SMP,0.002,-0.002,0.079,0.077
TabDiff,age,SMP,0.040,-0.040,0.079,0.039
REaLTabFormer,age,SMP,0.102,-0.102,0.079,-0.022
CTGAN,age,SPI,0.025,0.025,-0.011,0.014
GReaT_DistilGPT2,age,SPI,0.025,0.025,-0.011,0.014
GReaT_GPT2,age,SPI,0.002,-0.002,-0.011,-0.013
Tabula_DistilGPT2,age,SPI,0.009,0.009,-0.011,-0.003
Tabula_GPT2,age,SPI,0.002,-0.002,-0.011,-0.014
TapTap_DistilGPT2,age,SPI,0.002,0.002,-0.011,-0.010
TapTap_GPT2,age,SPI,0.042,-0.042,-0.011,-0.053
PredLLM_DistilGPT2,age,SPI,0.011,0.011,-0.011,-0.000
PredLLM_GPT2,age,SPI,0.014,0.014,-0.011,0.002
TabSyn,age,SPI,0.003,0.003,-0.011,-0.008
TabDiff,age,SPI,0.041,0.041,-0.011,0.030
REaLTabFormer,age,SPI,0.067,0.067,-0.011,0.055
CTGAN,age,SMS,0.098,0.098,0.003,0.101
GReaT_DistilGPT2,age,SMS,0.020,-0.020,0.003,-0.017
GReaT_GPT2,age,SMS,0.029,0.029,0.003,0.031
Tabula_DistilGPT2,age,SMS,0.004,-0.004,0.003,-0.001
Tabula_GPT2,age,SMS,0.009,-0.009,0.003,-0.006
TapTap_DistilGPT2,age,SMS,0.024,0.024,0.003,0.027
TapTap_GPT2,age,SMS,0.009,-0.009,0.003,-0.006
PredLLM_DistilGPT2,age,SMS,0.025,0.025,0.003,0.028
PredLLM_GPT2,age,SMS,0.080,0.080,0.003,0.083
TabSyn,age,SMS,0.001,0.001,0.003,0.004
TabDiff,age,SMS,0.038,-0.038,0.003,-0.035
REaLTabFormer,age,SMS,0.090,-0.090,0.003,-0.087
CTGAN,ESCS,SMP,0.008,0.008,0.385,0.393
GReaT_DistilGPT2,ESCS,SMP,0.114,-0.114,0.385,0.270
GReaT_GPT2,ESCS,SMP,0.148,-0.148,0.385,0.236
Tabula_DistilGPT2,ESCS,SMP,0.128,-0.128,0.385,0.257
Tabula_GPT2,ESCS,SMP,0.123,-0.123,0.385,0.262
TapTap_DistilGPT2,ESCS,SMP,0.097,0.097,0.385,0.482
TapTap_GPT2,ESCS,SMP,0.082,0.082,0.385,0.466
PredLLM_DistilGPT2,ESCS,SMP,0.005,-0.005,0.385,0.380
PredLLM_GPT2,ESCS,SMP,0.018,0.018,0.385,0.403
TabSyn,ESCS,SMP,0.038,0.038,0.385,0.423
TabDiff,ESCS,SMP,0.055,-0.055,0.385,0.330
REaLTabFormer,ESCS,SMP,0.062,0.062,0.385,0.446
CTGAN,ESCS,SPI,0.002,0.002,-0.081,-0.079
GReaT_DistilGPT2,ESCS,SPI,0.011,0.011,-0.081,-0.070
GReaT_GPT2,ESCS,SPI,0.022,0.022,-0.081,-0.059
Tabula_DistilGPT2,ESCS,SPI,0.004,-0.004,-0.081,-0.086
Tabula_GPT2,ESCS,SPI,0.073,0.073,-0.081,-0.008
TapTap_DistilGPT2,ESCS,SPI,0.002,-0.002,-0.081,-0.083
TapTap_GPT2,ESCS,SPI,0.022,0.022,-0.081,-0.059
PredLLM_DistilGPT2,ESCS,SPI,0.161,0.161,-0.081,0.080
PredLLM_GPT2,ESCS,SPI,0.149,0.149,-0.081,0.068
TabSyn,ESCS,SPI,0.072,-0.072,-0.081,-0.154
TabDiff,ESCS,SPI,0.015,0.015,-0.081,-0.067
REaLTabFormer,ESCS,SPI,0.030,0.030,-0.081,-0.051
CTGAN,ESCS,SMS,0.073,-0.073,0.046,-0.027
GReaT_DistilGPT2,ESCS,SMS,0.035,-0.035,0.046,0.011
GReaT_GPT2,ESCS,SMS,0.021,-0.021,0.046,0.025
Tabula_DistilGPT2,ESCS,SMS,0.027,0.027,0.046,0.073
Tabula_GPT2,ESCS,SMS,0.013,0.013,0.046,0.059
TapTap_DistilGPT2,ESCS,SMS,0.143,0.143,0.046,0.189
TapTap_GPT2,ESCS,SMS,0.128,0.128,0.046,0.174
PredLLM_DistilGPT2,ESCS,SMS,0.082,0.082,0.046,0.128
PredLLM_GPT2,ESCS,SMS,0.091,0.091,0.046,0.137
TabSyn,ESCS,SMS,0.039,0.039,0.046,0.085
TabDiff,ESCS,SMS,0.008,-0.008,0.046,0.038
REaLTabFormer,ESCS,SMS,0.124,0.124,0.046,0.171
CTGAN,motherEdu,SMP,0.048,0.048,0.183,0.232
GReaT_DistilGPT2,motherEdu,SMP,0.073,-0.073,0.183,0.111
GReaT_GPT2,motherEdu,SMP,0.104,-0.104,0.183,0.079
Tabula_DistilGPT2,motherEdu,SMP,0.068,-0.068,0.183,0.116
Tabula_GPT2,motherEdu,SMP,0.073,-0.073,0.183,0.111
TapTap_DistilGPT2,motherEdu,SMP,0.088,0.088,0.183,0.272
TapTap_GPT2,motherEdu,SMP,0.089,0.089,0.183,0.273
PredLLM_DistilGPT2,motherEdu,SMP,0.071,0.071,0.183,0.255
PredLLM_GPT2,motherEdu,SMP,0.123,0.123,0.183,0.307
TabSyn,motherEdu,SMP,0.010,0.010,0.183,0.193
TabDiff,motherEdu,SMP,0.011,-0.011,0.183,0.173
REaLTabFormer,motherEdu,SMP,0.183,0.183,0.183,0.366
CTGAN,motherEdu,SPI,0.027,-0.027,-0.011,-0.038
GReaT_DistilGPT2,motherEdu,SPI,0.025,-0.025,-0.011,-0.036
GReaT_GPT2,motherEdu,SPI,0.011,0.011,-0.011,0.000
Tabula_DistilGPT2,motherEdu,SPI,0.056,-0.056,-0.011,-0.067
Tabula_GPT2,motherEdu,SPI,0.021,0.021,-0.011,0.010
TapTap_DistilGPT2,motherEdu,SPI,0.012,-0.012,-0.011,-0.023
TapTap_GPT2,motherEdu,SPI,0.007,-0.007,-0.011,-0.018
PredLLM_DistilGPT2,motherEdu,SPI,0.067,0.067,-0.011,0.056
PredLLM_GPT2,motherEdu,SPI,0.111,0.111,-0.011,0.100
TabSyn,motherEdu,SPI,0.049,-0.049,-0.011,-0.060
TabDiff,motherEdu,SPI,0.025,0.025,-0.011,0.014
REaLTabFormer,motherEdu,SPI,0.006,0.006,-0.011,-0.006
CTGAN,motherEdu,SMS,0.027,-0.027,0.043,0.016
GReaT_DistilGPT2,motherEdu,SMS,0.060,-0.060,0.043,-0.016
GReaT_GPT2,motherEdu,SMS,0.052,-0.052,0.043,-0.008
Tabula_DistilGPT2,motherEdu,SMS,0.022,0.022,0.043,0.066
Tabula_GPT2,motherEdu,SMS,0.026,-0.026,0.043,0.017
TapTap_DistilGPT2,motherEdu,SMS,0.070,0.070,0.043,0.113
TapTap_GPT2,motherEdu,SMS,0.092,0.092,0.043,0.136
PredLLM_DistilGPT2,motherEdu,SMS,0.030,0.030,0.043,0.073
PredLLM_GPT2,motherEdu,SMS,0.078,0.078,0.043,0.121
TabSyn,motherEdu,SMS,0.030,0.030,0.043,0.074
TabDiff,motherEdu,SMS,0.009,-0.009,0.043,0.034
REaLTabFormer,motherEdu,SMS,0.194,0.194,0.043,0.237
CTGAN,immig,SMP,0.057,0.057,0.059,0.115
GReaT_DistilGPT2,immig,SMP,0.117,-0.117,0.059,-0.059
GReaT_GPT2,immig,SMP,0.106,-0.106,0.059,-0.047
Tabula_DistilGPT2,immig,SMP,0.216,-0.216,0.059,-0.157
Tabula_GPT2,immig,SMP,0.199,-0.199,0.059,-0.140
TapTap_DistilGPT2,immig,SMP,0.017,-0.017,0.059,0.042
TapTap_GPT2,immig,SMP,0.022,-0.022,0.059,0.037
PredLLM_DistilGPT2,immig,SMP,0.024,-0.024,0.059,0.034
PredLLM_GPT2,immig,SMP,0.002,-0.002,0.059,0.056
TabSyn,immig,SMP,0.024,0.024,0.059,0.083
TabDiff,immig,SMP,0.001,0.001,0.059,0.060
REaLTabFormer,immig,SMP,0.019,0.019,0.059,0.078
CTGAN,immig,SPI,0.054,-0.054,0.128,0.074
GReaT_DistilGPT2,immig,SPI,0.041,0.041,0.128,0.169
GReaT_GPT2,immig,SPI,0.020,0.020,0.128,0.148
Tabula_DistilGPT2,immig,SPI,0.023,-0.023,0.128,0.105
Tabula_GPT2,immig,SPI,0.021,0.021,0.128,0.149
TapTap_DistilGPT2,immig,SPI,0.002,0.002,0.128,0.131
TapTap_GPT2,immig,SPI,0.020,0.020,0.128,0.148
PredLLM_DistilGPT2,immig,SPI,0.110,0.110,0.128,0.239
PredLLM_GPT2,immig,SPI,0.123,0.123,0.128,0.251
TabSyn,immig,SPI,0.048,-0.048,0.128,0.081
TabDiff,immig,SPI,0.027,-0.027,0.128,0.101
REaLTabFormer,immig,SPI,0.122,0.122,0.128,0.250
CTGAN,immig,SMS,0.015,0.015,0.012,0.027
GReaT_DistilGPT2,immig,SMS,0.043,-0.043,0.012,-0.031
GReaT_GPT2,immig,SMS,0.026,-0.026,0.012,-0.014
Tabula_DistilGPT2,immig,SMS,0.024,-0.024,0.012,-0.011
Tabula_GPT2,immig,SMS,0.044,-0.044,0.012,-0.032
TapTap_DistilGPT2,immig,SMS,0.023,0.023,0.012,0.035
TapTap_GPT2,immig,SMS,0.014,0.014,0.012,0.026
PredLLM_DistilGPT2,immig,SMS,0.011,0.011,0.012,0.024
PredLLM_GPT2,immig,SMS,0.031,0.031,0.012,0.043
TabSyn,immig,SMS,0.031,0.031,0.012,0.043
TabDiff,immig,SMS,0.020,0.020,0.012,0.032
REaLTabFormer,immig,SMS,0.118,-0.118,0.012,-0.106
CTGAN,classSize,SMP,0.003,-0.003,0.107,0.104
GReaT_DistilGPT2,classSize,SMP,0.022,-0.022,0.107,0.085
GReaT_GPT2,classSize,SMP,0.030,-0.030,0.107,0.077
Tabula_DistilGPT2,classSize,SMP,0.008,0.008,0.107,0.115
Tabula_GPT2,classSize,SMP,0.022,0.022,0.107,0.129
TapTap_DistilGPT2,classSize,SMP,0.031,0.031,0.107,0.138
TapTap_GPT2,classSize,SMP,0.011,0.011,0.107,0.118
PredLLM_DistilGPT2,classSize,SMP,0.034,-0.034,0.107,0.073
PredLLM_GPT2,classSize,SMP,0.049,-0.049,0.107,0.058
TabSyn,classSize,SMP,0.016,0.016,0.107,0.122
TabDiff,classSize,SMP,0.001,-0.001,0.107,0.106
REaLTabFormer,classSize,SMP,0.059,-0.059,0.107,0.048
CTGAN,classSize,SPI,0.043,-0.043,-0.165,-0.207
GReaT_DistilGPT2,classSize,SPI,0.026,0.026,-0.165,-0.139
GReaT_GPT2,classSize,SPI,0.115,0.115,-0.165,-0.049
Tabula_DistilGPT2,classSize,SPI,0.120,0.120,-0.165,-0.045
Tabula_GPT2,classSize,SPI,0.020,-0.020,-0.165,-0.185
TapTap_DistilGPT2,classSize,SPI,0.056,0.056,-0.165,-0.108
TapTap_GPT2,classSize,SPI,0.074,0.074,-0.165,-0.091
PredLLM_DistilGPT2,classSize,SPI,0.131,0.131,-0.165,-0.033
PredLLM_GPT2,classSize,SPI,0.127,0.127,-0.165,-0.038
TabSyn,classSize,SPI,0.010,0.010,-0.165,-0.155
TabDiff,classSize,SPI,0.002,0.002,-0.165,-0.163
REaLTabFormer,classSize,SPI,0.104,-0.104,-0.165,-0.269
CTGAN,classSize,SMS,0.048,0.048,0.030,0.078
GReaT_DistilGPT2,classSize,SMS,0.003,-0.003,0.030,0.027
GReaT_GPT2,classSize,SMS,0.001,-0.001,0.030,0.029
Tabula_DistilGPT2,classSize,SMS,0.028,-0.028,0.030,0.002
Tabula_GPT2,classSize,SMS,0.009,-0.009,0.030,0.022
TapTap_DistilGPT2,classSize,SMS,0.002,0.002,0.030,0.033
TapTap_GPT2,classSize,SMS,0.024,0.024,0.030,0.055
PredLLM_DistilGPT2,classSize,SMS,0.018,-0.018,0.030,0.012
PredLLM_GPT2,classSize,SMS,0.024,-0.024,0.030,0.007
TabSyn,classSize,SMS,0.022,-0.022,0.030,0.008
TabDiff,classSize,SMS,0.016,0.016,0.030,0.046
REaLTabFormer,classSize,SMS,0.032,0.032,0.030,0.062
CTGAN,schoolSize,SMP,0.015,0.015,0.116,0.131
GReaT_DistilGPT2,schoolSize,SMP,0.093,-0.093,0.116,0.023
GReaT_GPT2,schoolSize,SMP,0.068,-0.068,0.116,0.048
Tabula_DistilGPT2,schoolSize,SMP,0.124,-0.124,0.116,-0.008
Tabula_GPT2,schoolSize,SMP,0.141,-0.141,0.116,-0.025
TapTap_DistilGPT2,schoolSize,SMP,0.026,-0.026,0.116,0.090
TapTap_GPT2,schoolSize,SMP,0.029,-0.029,0.116,0.087
PredLLM_DistilGPT2,schoolSize,SMP,0.065,-0.065,0.116,0.051
PredLLM_GPT2,schoolSize,SMP,0.078,-0.078,0.116,0.038
TabSyn,schoolSize,SMP,0.024,0.024,0.116,0.140
TabDiff,schoolSize,SMP,0.017,-0.017,0.116,0.100
REaLTabFormer,schoolSize,SMP,0.025,0.025,0.116,0.141
CTGAN,schoolSize,SPI,0.010,0.010,0.018,0.029
GReaT_DistilGPT2,schoolSize,SPI,0.049,-0.049,0.018,-0.030
GReaT_GPT2,schoolSize,SPI,0.075,-0.075,0.018,-0.057
Tabula_DistilGPT2,schoolSize,SPI,0.055,-0.055,0.018,-0.036
Tabula_GPT2,schoolSize,SPI,0.069,0.069,0.018,0.088
TapTap_DistilGPT2,schoolSize,SPI,0.079,-0.079,0.018,-0.060
TapTap_GPT2,schoolSize,SPI,0.029,-0.029,0.018,-0.010
PredLLM_DistilGPT2,schoolSize,SPI,0.247,0.247,0.018,0.266
PredLLM_GPT2,schoolSize,SPI,0.212,0.212,0.018,0.230
TabSyn,schoolSize,SPI,0.080,-0.080,0.018,-0.062
TabDiff,schoolSize,SPI,0.008,-0.008,0.018,0.011
REaLTabFormer,schoolSize,SPI,0.309,0.309,0.018,0.327
CTGAN,schoolSize,SMS,0.045,0.045,-0.057,-0.012
GReaT_DistilGPT2,schoolSize,SMS,0.003,-0.003,-0.057,-0.060
GReaT_GPT2,schoolSize,SMS,0.007,0.007,-0.057,-0.050
Tabula_DistilGPT2,schoolSize,SMS,0.040,0.040,-0.057,-0.017
Tabula_GPT2,schoolSize,SMS,0.017,0.017,-0.057,-0.040
TapTap_DistilGPT2,schoolSize,SMS,0.097,0.097,-0.057,0.040
TapTap_GPT2,schoolSize,SMS,0.067,0.067,-0.057,0.010
PredLLM_DistilGPT2,schoolSize,SMS,0.089,0.089,-0.057,0.032
PredLLM_GPT2,schoolSize,SMS,0.068,0.068,-0.057,0.011
TabSyn,schoolSize,SMS,0.011,0.011,-0.057,-0.046
TabDiff,schoolSize,SMS,0.013,-0.013,-0.057,-0.070
REaLTabFormer,schoolSize,SMS,0.042,0.042,-0.057,-0.015
