Variable,Metric,REAL,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
PV4MATH,Mean ± SD,585.364 ± 104.014,587.553 ± 127.010,607.231 ± 71.060,613.040 ± 70.135,591.250 ± 97.408,587.124 ± 104.183,577.981 ± 87.755,577.489 ± 144.926,588.356 ± 94.436,612.374 ± 65.853,614.741 ± 67.505,587.169 ± 101.950,586.582 ± 101.298
PV4MATH,Range,201 to 833,201 to 833,306 to 838,306 to 833,274 to 882,201 to 823,201 to 860,201 to 833,211 to 833,327 to 838,379 to 838,203 to 833,201 to 819
PV5MATH,Mean ± SD,585.738 ± 103.278,586.250 ± 127.446,607.952 ± 72.410,615.458 ± 70.417,588.866 ± 96.497,587.444 ± 104.193,571.738 ± 89.800,586.159 ± 104.166,585.737 ± 95.041,612.858 ± 65.044,613.687 ± 66.885,588.334 ± 101.696,587.396 ± 101.351
PV5MATH,Range,206 to 850,206 to 850,341 to 850,322 to 850,205 to 874,205 to 851,278 to 870,206 to 806,211 to 806,352 to 834,367 to 826,206 to 850,206 to 850
PV6MATH,Mean ± SD,588.044 ± 101.433,601.411 ± 118.186,608.294 ± 68.725,615.792 ± 68.095,590.944 ± 94.153,590.921 ± 101.436,582.411 ± 87.679,581.917 ± 137.875,591.246 ± 92.333,612.796 ± 65.687,614.641 ± 66.519,590.330 ± 99.418,589.307 ± 98.493
PV6MATH,Range,266 to 851,266 to 851,266 to 851,266 to 851,214 to 811,265 to 844,211 to 865,266 to 851,266 to 851,306 to 851,359 to 831,258 to 851,266 to 871
PV7MATH,Mean ± SD,589.522 ± 102.242,604.112 ± 113.140,611.163 ± 71.369,617.606 ± 70.593,593.390 ± 95.577,591.042 ± 103.493,583.714 ± 92.478,587.454 ± 140.640,594.182 ± 96.590,612.499 ± 65.168,615.513 ± 68.053,592.304 ± 101.070,591.558 ± 99.800
PV7MATH,Range,238 to 876,238 to 841,303 to 876,339 to 838,232 to 875,256 to 903,194 to 872,238 to 876,239 to 874,316 to 816,376 to 833,231 to 881,238 to 881
PV8MATH,Mean ± SD,588.596 ± 102.047,595.059 ± 114.892,610.585 ± 70.165,617.450 ± 68.229,592.658 ± 95.557,590.625 ± 102.181,581.806 ± 85.930,584.298 ± 132.476,592.491 ± 95.297,613.375 ± 64.953,614.892 ± 68.263,592.067 ± 101.078,590.925 ± 100.326
PV8MATH,Range,293 to 828,293 to 828,323 to 828,323 to 813,254 to 843,232 to 846,293 to 870,293 to 828,295 to 828,306 to 843,378 to 838,211 to 832,278 to 828
PV9MATH,Mean ± SD,588.478 ± 101.088,594.220 ± 116.629,609.050 ± 69.867,617.145 ± 68.995,592.402 ± 94.446,590.758 ± 101.553,581.449 ± 96.122,584.326 ± 138.785,591.392 ± 92.718,613.293 ± 65.525,615.270 ± 67.494,590.675 ± 99.640,589.691 ± 98.513
PV9MATH,Range,269 to 841,269 to 841,337 to 841,308 to 838,270 to 842,180 to 834,186 to 887,269 to 841,269 to 841,368 to 831,365 to 846,269 to 883,236 to 841
SCHSIZE,Mean ± SD,1330.076 ± 832.751,1459.014 ± 908.731,1343.658 ± 816.806,1356.359 ± 788.050,1379.422 ± 740.037,1390.717 ± 729.316,1651.648 ± 997.703,1332.067 ± 811.570,1299.773 ± 787.334,1330.777 ± 822.915,1472.306 ± 914.087,1268.993 ± 702.869,1297.075 ± 714.355
SCHSIZE,Range,315 to 4020,315 to 4020,315 to 4020,315 to 4020,314 to 4018,314 to 4018,164 to 4018,315 to 4020,315 to 4020,90 to 4020,315 to 4020,63 to 4019,314 to 4019
