Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
REaLTabFormer,grade,SMP,0.048,-0.048,0.199,0.151
CTGAN,grade,SPI,0.002,0.002,-0.041,-0.039
GReaT,grade,SPI,0.034,0.034,-0.041,-0.007
Tabula,grade,SPI,0.012,-0.012,-0.041,-0.052
TapTap,grade,SPI,0.010,-0.010,-0.041,-0.051
PredLLM,grade,SPI,0.008,-0.008,-0.041,-0.049
TabSyn,grade,SPI,0.009,0.009,-0.041,-0.032
TabDiff,grade,SPI,0.031,0.031,-0.041,-0.010
REaLTabFormer,grade,SPI,0.018,-0.018,-0.041,-0.059
CTGAN,grade,SMS,0.013,0.013,0.085,0.098
GReaT,grade,SMS,0.042,-0.042,0.085,0.043
Tabula,grade,SMS,0.077,-0.077,0.085,0.008
TapTap,grade,SMS,0.018,-0.018,0.085,0.067
PredLLM,grade,SMS,0.003,-0.003,0.085,0.082
TabSyn,grade,SMS,0.040,-0.040,0.085,0.045
TabDiff,grade,SMS,0.004,0.004,0.085,0.089
REaLTabFormer,grade,SMS,0.014,-0.014,0.085,0.072
CTGAN,age,SMP,0.086,0.086,0.079,0.165
GReaT,age,SMP,0.010,-0.010,0.079,0.069
Tabula,age,SMP,0.059,-0.059,0.079,0.020
TapTap,age,SMP,0.001,0.001,0.079,0.081
PredLLM,age,SMP,0.020,-0.020,0.079,0.060
TabSyn,age,SMP,0.002,-0.002,0.079,0.077
TabDiff,age,SMP,0.040,-0.040,0.079,0.039
REaLTabFormer,age,SMP,0.004,-0.004,0.079,0.075
CTGAN,age,SPI,0.025,0.025,-0.011,0.014
GReaT,age,SPI,0.023,0.023,-0.011,0.011
Tabula,age,SPI,0.017,0.017,-0.011,0.005
TapTap,age,SPI,0.002,0.002,-0.011,-0.010
PredLLM,age,SPI,0.015,0.015,-0.011,0.004
TabSyn,age,SPI,0.003,0.003,-0.011,-0.008
TabDiff,age,SPI,0.041,0.041,-0.011,0.030
REaLTabFormer,age,SPI,0.061,-0.061,-0.011,-0.073
CTGAN,age,SMS,0.098,0.098,0.003,0.101
GReaT,age,SMS,0.023,0.023,0.003,0.026
Tabula,age,SMS,0.001,-0.001,0.003,0.002
TapTap,age,SMS,0.024,0.024,0.003,0.027
PredLLM,age,SMS,0.021,0.021,0.003,0.024
TabSyn,age,SMS,0.001,0.001,0.003,0.004
TabDiff,age,SMS,0.038,-0.038,0.003,-0.035
REaLTabFormer,age,SMS,0.117,0.117,0.003,0.119
CTGAN,ESCS,SMP,0.008,0.008,0.385,0.393
GReaT,ESCS,SMP,0.123,-0.123,0.385,0.261
Tabula,ESCS,SMP,0.150,-0.150,0.385,0.235
TapTap,ESCS,SMP,0.097,0.097,0.385,0.482
PredLLM,ESCS,SMP,0.008,-0.008,0.385,0.377
TabSyn,ESCS,SMP,0.038,0.038,0.385,0.423
TabDiff,ESCS,SMP,0.055,-0.055,0.385,0.330
REaLTabFormer,ESCS,SMP,0.124,-0.124,0.385,0.260
CTGAN,ESCS,SPI,0.002,0.002,-0.081,-0.079
GReaT,ESCS,SPI,0.007,-0.007,-0.081,-0.088
Tabula,ESCS,SPI,0.079,0.079,-0.081,-0.003
TapTap,ESCS,SPI,0.002,-0.002,-0.081,-0.083
PredLLM,ESCS,SPI,0.130,0.130,-0.081,0.048
TabSyn,ESCS,SPI,0.072,-0.072,-0.081,-0.154
TabDiff,ESCS,SPI,0.015,0.015,-0.081,-0.067
REaLTabFormer,ESCS,SPI,0.076,-0.076,-0.081,-0.157
CTGAN,ESCS,SMS,0.073,-0.073,0.046,-0.027
GReaT,ESCS,SMS,0.031,-0.031,0.046,0.015
Tabula,ESCS,SMS,0.086,0.086,0.046,0.132
TapTap,ESCS,SMS,0.143,0.143,0.046,0.189
PredLLM,ESCS,SMS,0.077,0.077,0.046,0.123
TabSyn,ESCS,SMS,0.039,0.039,0.046,0.085
TabDiff,ESCS,SMS,0.008,-0.008,0.046,0.038
REaLTabFormer,ESCS,SMS,0.044,-0.044,0.046,0.002
CTGAN,motherEdu,SMP,0.048,0.048,0.183,0.232
GReaT,motherEdu,SMP,0.098,-0.098,0.183,0.085
Tabula,motherEdu,SMP,0.126,-0.126,0.183,0.057
TapTap,motherEdu,SMP,0.088,0.088,0.183,0.272
PredLLM,motherEdu,SMP,0.066,0.066,0.183,0.249
TabSyn,motherEdu,SMP,0.010,0.010,0.183,0.193
TabDiff,motherEdu,SMP,0.011,-0.011,0.183,0.173
REaLTabFormer,motherEdu,SMP,0.013,-0.013,0.183,0.171
CTGAN,motherEdu,SPI,0.027,-0.027,-0.011,-0.038
GReaT,motherEdu,SPI,0.015,-0.015,-0.011,-0.026
Tabula,motherEdu,SPI,0.020,0.020,-0.011,0.009
TapTap,motherEdu,SPI,0.012,-0.012,-0.011,-0.023
PredLLM,motherEdu,SPI,0.062,0.062,-0.011,0.051
TabSyn,motherEdu,SPI,0.049,-0.049,-0.011,-0.060
TabDiff,motherEdu,SPI,0.025,0.025,-0.011,0.014
REaLTabFormer,motherEdu,SPI,0.098,-0.098,-0.011,-0.109
CTGAN,motherEdu,SMS,0.027,-0.027,0.043,0.016
GReaT,motherEdu,SMS,0.019,-0.019,0.043,0.025
Tabula,motherEdu,SMS,0.053,0.053,0.043,0.097
TapTap,motherEdu,SMS,0.070,0.070,0.043,0.113
PredLLM,motherEdu,SMS,0.039,0.039,0.043,0.083
TabSyn,motherEdu,SMS,0.030,0.030,0.043,0.074
TabDiff,motherEdu,SMS,0.009,-0.009,0.043,0.034
REaLTabFormer,motherEdu,SMS,0.025,0.025,0.043,0.068
CTGAN,immig,SMP,0.057,0.057,0.059,0.115
GReaT,immig,SMP,0.125,-0.125,0.059,-0.067
Tabula,immig,SMP,0.231,-0.231,0.059,-0.173
TapTap,immig,SMP,0.017,-0.017,0.059,0.042
PredLLM,immig,SMP,0.022,-0.022,0.059,0.036
TabSyn,immig,SMP,0.024,0.024,0.059,0.083
TabDiff,immig,SMP,0.001,0.001,0.059,0.060
REaLTabFormer,immig,SMP,0.084,0.084,0.059,0.143
CTGAN,immig,SPI,0.054,-0.054,0.128,0.074
GReaT,immig,SPI,0.053,0.053,0.128,0.181
Tabula,immig,SPI,0.047,0.047,0.128,0.176
TapTap,immig,SPI,0.002,0.002,0.128,0.131
PredLLM,immig,SPI,0.088,0.088,0.128,0.216
TabSyn,immig,SPI,0.048,-0.048,0.128,0.081
TabDiff,immig,SPI,0.027,-0.027,0.128,0.101
REaLTabFormer,immig,SPI,0.029,-0.029,0.128,0.100
CTGAN,immig,SMS,0.015,0.015,0.012,0.027
GReaT,immig,SMS,0.042,-0.042,0.012,-0.030
Tabula,immig,SMS,0.058,-0.058,0.012,-0.045
TapTap,immig,SMS,0.023,0.023,0.012,0.035
PredLLM,immig,SMS,0.003,0.003,0.012,0.015
TabSyn,immig,SMS,0.031,0.031,0.012,0.043
TabDiff,immig,SMS,0.020,0.020,0.012,0.032
REaLTabFormer,immig,SMS,0.077,0.077,0.012,0.089
CTGAN,classSize,SMP,0.003,-0.003,0.107,0.104
GReaT,classSize,SMP,0.027,-0.027,0.107,0.080
Tabula,classSize,SMP,0.011,-0.011,0.107,0.095
TapTap,classSize,SMP,0.031,0.031,0.107,0.138
PredLLM,classSize,SMP,0.037,-0.037,0.107,0.070
TabSyn,classSize,SMP,0.016,0.016,0.107,0.122
TabDiff,classSize,SMP,0.001,-0.001,0.107,0.106
REaLTabFormer,classSize,SMP,0.031,-0.031,0.107,0.075
CTGAN,classSize,SPI,0.043,-0.043,-0.165,-0.207
GReaT,classSize,SPI,0.040,0.040,-0.165,-0.125
Tabula,classSize,SPI,0.049,0.049,-0.165,-0.116
TapTap,classSize,SPI,0.056,0.056,-0.165,-0.108
PredLLM,classSize,SPI,0.134,0.134,-0.165,-0.031
TabSyn,classSize,SPI,0.010,0.010,-0.165,-0.155
TabDiff,classSize,SPI,0.002,0.002,-0.165,-0.163
REaLTabFormer,classSize,SPI,0.126,-0.126,-0.165,-0.290
CTGAN,classSize,SMS,0.048,0.048,0.030,0.078
GReaT,classSize,SMS,0.018,-0.018,0.030,0.012
Tabula,classSize,SMS,0.085,-0.085,0.030,-0.054
TapTap,classSize,SMS,0.002,0.002,0.030,0.033
PredLLM,classSize,SMS,0.025,-0.025,0.030,0.005
TabSyn,classSize,SMS,0.022,-0.022,0.030,0.008
TabDiff,classSize,SMS,0.016,0.016,0.030,0.046
REaLTabFormer,classSize,SMS,0.029,0.029,0.030,0.059
CTGAN,schoolSize,SMP,0.015,0.015,0.116,0.131
GReaT,schoolSize,SMP,0.087,-0.087,0.116,0.029
Tabula,schoolSize,SMP,0.150,-0.150,0.116,-0.034
TapTap,schoolSize,SMP,0.026,-0.026,0.116,0.090
PredLLM,schoolSize,SMP,0.058,-0.058,0.116,0.058
TabSyn,schoolSize,SMP,0.024,0.024,0.116,0.140
TabDiff,schoolSize,SMP,0.017,-0.017,0.116,0.100
REaLTabFormer,schoolSize,SMP,0.058,0.058,0.116,0.174
CTGAN,schoolSize,SPI,0.010,0.010,0.018,0.029
GReaT,schoolSize,SPI,0.056,-0.056,0.018,-0.037
Tabula,schoolSize,SPI,0.151,0.151,0.018,0.170
TapTap,schoolSize,SPI,0.079,-0.079,0.018,-0.060
PredLLM,schoolSize,SPI,0.223,0.223,0.018,0.241
TabSyn,schoolSize,SPI,0.080,-0.080,0.018,-0.062
TabDiff,schoolSize,SPI,0.008,-0.008,0.018,0.011
REaLTabFormer,schoolSize,SPI,0.057,0.057,0.018,0.075
CTGAN,schoolSize,SMS,0.045,0.045,-0.057,-0.012
GReaT,schoolSize,SMS,0.023,-0.023,-0.057,-0.080
Tabula,schoolSize,SMS,0.044,0.044,-0.057,-0.013
TapTap,schoolSize,SMS,0.097,0.097,-0.057,0.040
PredLLM,schoolSize,SMS,0.084,0.084,-0.057,0.027
TabSyn,schoolSize,SMS,0.011,0.011,-0.057,-0.046
TabDiff,schoolSize,SMS,0.013,-0.013,-0.057,-0.070
REaLTabFormer,schoolSize,SMS,0.063,0.063,-0.057,0.006
