Variable,Technique,Missing_%
SC064Q02TA,PredLLM_DistilGPT2,0.000
SC064Q02TA,PredLLM_GPT2,0.000
SC064Q02TA,REaLTabFormer,0.000
SC064Q02TA,TabDiff,0.000
SC064Q02TA,TabSyn,0.000
SC064Q02TA,Tabula_DistilGPT2,0.000
SC064Q02TA,Tabula_GPT2,0.000
SC064Q02TA,TapTap_DistilGPT2,0.000
SC064Q02TA,TapTap_GPT2,0.000
SC064Q03TA,REAL,0.000
SC064Q03TA,CTGAN,0.000
SC064Q03TA,GReaT_DistilGPT2,0.000
SC064Q03TA,GReaT_GPT2,0.000
SC064Q03TA,PredLLM_DistilGPT2,0.000
SC064Q03TA,PredLLM_GPT2,0.000
SC064Q03TA,REaLTabFormer,0.000
SC064Q03TA,TabDiff,0.000
SC064Q03TA,TabSyn,0.000
SC064Q03TA,Tabula_DistilGPT2,0.000
SC064Q03TA,Tabula_GPT2,0.000
SC064Q03TA,TapTap_DistilGPT2,0.000
SC064Q03TA,TapTap_GPT2,0.000
SC064Q04NA,REAL,0.000
SC064Q04NA,CTGAN,0.000
SC064Q04NA,GReaT_DistilGPT2,0.000
SC064Q04NA,GReaT_GPT2,0.000
SC064Q04NA,PredLLM_DistilGPT2,0.000
SC064Q04NA,PredLLM_GPT2,0.000
SC064Q04NA,REaLTabFormer,0.000
SC064Q04NA,TabDiff,0.000
SC064Q04NA,TabSyn,0.000
SC064Q04NA,Tabula_DistilGPT2,0.000
SC064Q04NA,Tabula_GPT2,0.000
SC064Q04NA,TapTap_DistilGPT2,0.000
SC064Q04NA,TapTap_GPT2,0.000
SC064Q05WA,REAL,0.000
SC064Q05WA,CTGAN,0.000
SC064Q05WA,GReaT_DistilGPT2,0.000
SC064Q05WA,GReaT_GPT2,0.000
SC064Q05WA,PredLLM_DistilGPT2,0.000
SC064Q05WA,PredLLM_GPT2,0.000
SC064Q05WA,REaLTabFormer,0.000
SC064Q05WA,TabDiff,0.000
SC064Q05WA,TabSyn,0.000
SC064Q05WA,Tabula_DistilGPT2,0.000
SC064Q05WA,Tabula_GPT2,0.000
SC064Q05WA,TapTap_DistilGPT2,0.000
SC064Q05WA,TapTap_GPT2,0.000
SC064Q06WA,REAL,0.000
SC064Q06WA,CTGAN,0.000
SC064Q06WA,GReaT_DistilGPT2,0.000
SC064Q06WA,GReaT_GPT2,0.000
SC064Q06WA,PredLLM_DistilGPT2,0.000
SC064Q06WA,PredLLM_GPT2,0.000
SC064Q06WA,REaLTabFormer,0.000
SC064Q06WA,TabDiff,0.000
SC064Q06WA,TabSyn,0.000
SC064Q06WA,Tabula_DistilGPT2,0.000
SC064Q06WA,Tabula_GPT2,0.000
SC064Q06WA,TapTap_DistilGPT2,0.000
SC064Q06WA,TapTap_GPT2,0.000
SC064Q07WA,REAL,0.000
SC064Q07WA,CTGAN,0.000
SC064Q07WA,GReaT_DistilGPT2,0.000
SC064Q07WA,GReaT_GPT2,0.000
SC064Q07WA,PredLLM_DistilGPT2,0.000
SC064Q07WA,PredLLM_GPT2,0.000
SC064Q07WA,REaLTabFormer,0.000
SC064Q07WA,TabDiff,0.000
SC064Q07WA,TabSyn,0.000
SC064Q07WA,Tabula_DistilGPT2,0.000
SC064Q07WA,Tabula_GPT2,0.000
SC064Q07WA,TapTap_DistilGPT2,0.000
SC064Q07WA,TapTap_GPT2,0.000
SCHSIZE,REAL,0.000
SCHSIZE,CTGAN,0.000
SCHSIZE,GReaT_DistilGPT2,0.000
SCHSIZE,GReaT_GPT2,0.000
SCHSIZE,PredLLM_DistilGPT2,0.000
SCHSIZE,PredLLM_GPT2,0.000
SCHSIZE,REaLTabFormer,0.000
SCHSIZE,TabDiff,0.000
SCHSIZE,TabSyn,0.000
SCHSIZE,Tabula_DistilGPT2,0.000
SCHSIZE,Tabula_GPT2,0.000
SCHSIZE,TapTap_DistilGPT2,0.000
SCHSIZE,TapTap_GPT2,0.000
ST001D01T,REAL,0.000
ST001D01T,CTGAN,0.000
ST001D01T,GReaT_DistilGPT2,0.000
ST001D01T,GReaT_GPT2,0.000
ST001D01T,PredLLM_DistilGPT2,0.000
ST001D01T,PredLLM_GPT2,0.000
ST001D01T,REaLTabFormer,0.000
ST001D01T,TabDiff,0.000
ST001D01T,TabSyn,0.000
ST001D01T,Tabula_DistilGPT2,0.000
ST001D01T,Tabula_GPT2,0.000
ST001D01T,TapTap_DistilGPT2,0.000
ST001D01T,TapTap_GPT2,0.000
ST004D01T,REAL,0.000
ST004D01T,CTGAN,0.000
ST004D01T,GReaT_DistilGPT2,0.000
ST004D01T,GReaT_GPT2,0.000
ST004D01T,PredLLM_DistilGPT2,0.000
ST004D01T,PredLLM_GPT2,0.000
ST004D01T,REaLTabFormer,0.000
ST004D01T,TabDiff,0.000
ST004D01T,TabSyn,0.000
ST004D01T,Tabula_DistilGPT2,0.000
ST004D01T,Tabula_GPT2,0.000
ST004D01T,TapTap_DistilGPT2,0.000
ST004D01T,TapTap_GPT2,0.000
ST268Q01JA,REAL,0.000
ST268Q01JA,CTGAN,0.000
ST268Q01JA,GReaT_DistilGPT2,0.000
ST268Q01JA,GReaT_GPT2,0.000
ST268Q01JA,PredLLM_DistilGPT2,0.000
ST268Q01JA,PredLLM_GPT2,0.000
ST268Q01JA,REaLTabFormer,0.000
ST268Q01JA,TabDiff,0.000
ST268Q01JA,TabSyn,0.000
ST268Q01JA,Tabula_DistilGPT2,0.000
ST268Q01JA,Tabula_GPT2,0.000
ST268Q01JA,TapTap_DistilGPT2,0.000
ST268Q01JA,TapTap_GPT2,0.000
ST268Q04JA,REAL,0.000
ST268Q04JA,CTGAN,0.000
ST268Q04JA,GReaT_DistilGPT2,0.000
ST268Q04JA,GReaT_GPT2,0.000
ST268Q04JA,PredLLM_DistilGPT2,0.000
ST268Q04JA,PredLLM_GPT2,0.000
ST268Q04JA,REaLTabFormer,0.000
ST268Q04JA,TabDiff,0.000
ST268Q04JA,TabSyn,0.000
ST268Q04JA,Tabula_DistilGPT2,0.000
ST268Q04JA,Tabula_GPT2,0.000
ST268Q04JA,TapTap_DistilGPT2,0.000
ST268Q04JA,TapTap_GPT2,0.000
ST268Q07JA,REAL,0.000
ST268Q07JA,CTGAN,0.000
ST268Q07JA,GReaT_DistilGPT2,0.000
ST268Q07JA,GReaT_GPT2,0.000
ST268Q07JA,PredLLM_DistilGPT2,0.000
ST268Q07JA,PredLLM_GPT2,0.000
ST268Q07JA,REaLTabFormer,0.000
ST268Q07JA,TabDiff,0.000
ST268Q07JA,TabSyn,0.000
ST268Q07JA,Tabula_DistilGPT2,0.000
ST268Q07JA,Tabula_GPT2,0.000
ST268Q07JA,TapTap_DistilGPT2,0.000
ST268Q07JA,TapTap_GPT2,0.000
