Variable,Technique,REAL_Range,Synthetic_Range,Same_As_REAL
MCLSIZE,PredLLM_GPT2,"[18.0, 38.0]","[18.04, 37.96]",✗
MCLSIZE,REaLTabFormer,"[18.0, 38.0]","[14.99, 41.0]",✗
MCLSIZE,TabDiff,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TabSyn,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,Tabula_DistilGPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,Tabula_GPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TapTap_DistilGPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
MCLSIZE,TapTap_GPT2,"[18.0, 38.0]","[18.0, 38.0]",✓
PV10MATH,REAL,"[238.5, 817.24]","[238.5, 817.24]",-
PV10MATH,CTGAN,"[238.5, 817.24]","[238.5, 816.4]",✗
PV10MATH,GReaT_DistilGPT2,"[238.5, 817.24]","[297.05, 817.24]",✗
PV10MATH,GReaT_GPT2,"[238.5, 817.24]","[238.5, 802.49]",✗
PV10MATH,PredLLM_DistilGPT2,"[238.5, 817.24]","[238.12, 817.28]",✗
PV10MATH,PredLLM_GPT2,"[238.5, 817.24]","[210.93, 841.46]",✗
PV10MATH,REaLTabFormer,"[238.5, 817.24]","[188.77, 825.34]",✗
PV10MATH,TabDiff,"[238.5, 817.24]","[238.5, 817.23]",✗
PV10MATH,TabSyn,"[238.5, 817.24]","[246.58, 816.28]",✗
PV10MATH,Tabula_DistilGPT2,"[238.5, 817.24]","[352.72, 838.08]",✗
PV10MATH,Tabula_GPT2,"[238.5, 817.24]","[379.84, 838.95]",✗
PV10MATH,TapTap_DistilGPT2,"[238.5, 817.24]","[238.53, 817.28]",✗
PV10MATH,TapTap_GPT2,"[238.5, 817.24]","[238.53, 823.83]",✗
PV1MATH,REAL,"[237.55, 943.04]","[237.55, 943.04]",-
PV1MATH,CTGAN,"[237.55, 943.04]","[237.55, 916.34]",✗
PV1MATH,GReaT_DistilGPT2,"[237.55, 943.04]","[297.2, 816.91]",✗
PV1MATH,GReaT_GPT2,"[237.55, 943.04]","[237.55, 816.91]",✗
PV1MATH,PredLLM_DistilGPT2,"[237.55, 943.04]","[207.22, 817.36]",✗
PV1MATH,PredLLM_GPT2,"[237.55, 943.04]","[224.45, 816.35]",✗
PV1MATH,REaLTabFormer,"[237.55, 943.04]","[188.98, 943.04]",✗
PV1MATH,TabDiff,"[237.55, 943.04]","[246.64, 942.56]",✗
PV1MATH,TabSyn,"[237.55, 943.04]","[249.4, 936.57]",✗
PV1MATH,Tabula_DistilGPT2,"[237.55, 943.04]","[331.75, 844.98]",✗
PV1MATH,Tabula_GPT2,"[237.55, 943.04]","[367.84, 838.64]",✗
PV1MATH,TapTap_DistilGPT2,"[237.55, 943.04]","[206.71, 816.96]",✗
PV1MATH,TapTap_GPT2,"[237.55, 943.04]","[237.52, 816.96]",✗
PV2MATH,REAL,"[277.13, 878.47]","[277.13, 878.47]",-
PV2MATH,CTGAN,"[277.13, 878.47]","[277.13, 856.77]",✗
PV2MATH,GReaT_DistilGPT2,"[277.13, 878.47]","[285.57, 878.47]",✗
PV2MATH,GReaT_GPT2,"[277.13, 878.47]","[277.13, 878.47]",✓
PV2MATH,PredLLM_DistilGPT2,"[277.13, 878.47]","[286.0, 878.47]",✗
PV2MATH,PredLLM_GPT2,"[277.13, 878.47]","[262.55, 848.9]",✗
PV2MATH,REaLTabFormer,"[277.13, 878.47]","[281.93, 868.27]",✗
PV2MATH,TabDiff,"[277.13, 878.47]","[277.13, 878.45]",✗
PV2MATH,TabSyn,"[277.13, 878.47]","[277.13, 878.33]",✗
PV2MATH,Tabula_DistilGPT2,"[277.13, 878.47]","[365.56, 814.0]",✗
PV2MATH,Tabula_GPT2,"[277.13, 878.47]","[379.84, 838.95]",✗
PV2MATH,TapTap_DistilGPT2,"[277.13, 878.47]","[209.83, 878.88]",✗
PV2MATH,TapTap_GPT2,"[277.13, 878.47]","[277.13, 878.47]",✓
PV3MATH,REAL,"[282.47, 838.13]","[282.47, 838.13]",-
PV3MATH,CTGAN,"[282.47, 838.13]","[282.47, 838.13]",✓
PV3MATH,GReaT_DistilGPT2,"[282.47, 838.13]","[287.72, 878.47]",✗
PV3MATH,GReaT_GPT2,"[282.47, 838.13]","[303.4, 821.06]",✗
PV3MATH,PredLLM_DistilGPT2,"[282.47, 838.13]","[287.29, 831.41]",✗
PV3MATH,PredLLM_GPT2,"[282.47, 838.13]","[215.88, 838.45]",✗
PV3MATH,REaLTabFormer,"[282.47, 838.13]","[289.3, 809.28]",✗
PV3MATH,TabDiff,"[282.47, 838.13]","[282.49, 838.12]",✗
PV3MATH,TabSyn,"[282.47, 838.13]","[290.34, 837.78]",✗
PV3MATH,Tabula_DistilGPT2,"[282.47, 838.13]","[373.98, 834.84]",✗
PV3MATH,Tabula_GPT2,"[282.47, 838.13]","[376.79, 838.73]",✗
PV3MATH,TapTap_DistilGPT2,"[282.47, 838.13]","[282.46, 838.14]",✗
PV3MATH,TapTap_GPT2,"[282.47, 838.13]","[282.46, 871.74]",✗
PV4MATH,REAL,"[201.46, 833.41]","[201.46, 833.41]",-
PV4MATH,CTGAN,"[201.46, 833.41]","[201.46, 833.41]",✓
PV4MATH,GReaT_DistilGPT2,"[201.46, 833.41]","[306.17, 838.75]",✗
PV4MATH,GReaT_GPT2,"[201.46, 833.41]","[306.17, 833.41]",✗
PV4MATH,PredLLM_DistilGPT2,"[201.46, 833.41]","[274.54, 882.67]",✗
PV4MATH,PredLLM_GPT2,"[201.46, 833.41]","[201.78, 823.42]",✗
PV4MATH,REaLTabFormer,"[201.46, 833.41]","[201.78, 860.84]",✗
PV4MATH,TabDiff,"[201.46, 833.41]","[201.48, 833.41]",✗
PV4MATH,TabSyn,"[201.46, 833.41]","[211.7, 833.39]",✗
PV4MATH,Tabula_DistilGPT2,"[201.46, 833.41]","[327.87, 838.64]",✗
PV4MATH,Tabula_GPT2,"[201.46, 833.41]","[379.95, 838.98]",✗
PV4MATH,TapTap_DistilGPT2,"[201.46, 833.41]","[203.23, 833.6]",✗
PV4MATH,TapTap_GPT2,"[201.46, 833.41]","[201.47, 819.26]",✗
PV5MATH,REAL,"[206.36, 850.7]","[206.36, 850.7]",-
PV5MATH,CTGAN,"[206.36, 850.7]","[206.36, 850.7]",✓
PV5MATH,GReaT_DistilGPT2,"[206.36, 850.7]","[341.44, 850.7]",✗
PV5MATH,GReaT_GPT2,"[206.36, 850.7]","[322.94, 850.7]",✗
PV5MATH,PredLLM_DistilGPT2,"[206.36, 850.7]","[205.9, 874.75]",✗
PV5MATH,PredLLM_GPT2,"[206.36, 850.7]","[205.9, 851.01]",✗
PV5MATH,REaLTabFormer,"[206.36, 850.7]","[278.15, 870.62]",✗
PV5MATH,TabDiff,"[206.36, 850.7]","[206.76, 806.68]",✗
PV5MATH,TabSyn,"[206.36, 850.7]","[211.34, 806.68]",✗
PV5MATH,Tabula_DistilGPT2,"[206.36, 850.7]","[352.97, 834.96]",✗
PV5MATH,Tabula_GPT2,"[206.36, 850.7]","[367.12, 826.96]",✗
PV5MATH,TapTap_DistilGPT2,"[206.36, 850.7]","[206.31, 850.7]",✗
PV5MATH,TapTap_GPT2,"[206.36, 850.7]","[206.31, 850.7]",✗
PV6MATH,REAL,"[266.06, 851.73]","[266.06, 851.73]",-
PV6MATH,CTGAN,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,GReaT_DistilGPT2,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,GReaT_GPT2,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,PredLLM_DistilGPT2,"[266.06, 851.73]","[214.99, 811.07]",✗
PV6MATH,PredLLM_GPT2,"[266.06, 851.73]","[265.68, 844.52]",✗
PV6MATH,REaLTabFormer,"[266.06, 851.73]","[211.95, 865.81]",✗
PV6MATH,TabDiff,"[266.06, 851.73]","[266.06, 851.73]",✓
PV6MATH,TabSyn,"[266.06, 851.73]","[266.68, 851.71]",✗
PV6MATH,Tabula_DistilGPT2,"[266.06, 851.73]","[306.89, 851.72]",✗
PV6MATH,Tabula_GPT2,"[266.06, 851.73]","[359.79, 831.9]",✗
PV6MATH,TapTap_DistilGPT2,"[266.06, 851.73]","[258.28, 851.72]",✗
PV6MATH,TapTap_GPT2,"[266.06, 851.73]","[266.08, 871.99]",✗
PV7MATH,REAL,"[238.54, 876.15]","[238.54, 876.15]",-
PV7MATH,CTGAN,"[238.54, 876.15]","[238.54, 841.32]",✗
PV7MATH,GReaT_DistilGPT2,"[238.54, 876.15]","[303.76, 876.15]",✗
PV7MATH,GReaT_GPT2,"[238.54, 876.15]","[339.79, 838.75]",✗
PV7MATH,PredLLM_DistilGPT2,"[238.54, 876.15]","[232.91, 875.63]",✗
PV7MATH,PredLLM_GPT2,"[238.54, 876.15]","[256.41, 903.22]",✗
PV7MATH,REaLTabFormer,"[238.54, 876.15]","[194.08, 872.57]",✗
PV7MATH,TabDiff,"[238.54, 876.15]","[238.56, 876.15]",✗
PV7MATH,TabSyn,"[238.54, 876.15]","[239.58, 874.96]",✗
PV7MATH,Tabula_DistilGPT2,"[238.54, 876.15]","[316.56, 816.71]",✗
PV7MATH,Tabula_GPT2,"[238.54, 876.15]","[376.72, 833.93]",✗
PV7MATH,TapTap_DistilGPT2,"[238.54, 876.15]","[231.07, 881.76]",✗
PV7MATH,TapTap_GPT2,"[238.54, 876.15]","[238.53, 881.76]",✗
PV8MATH,REAL,"[293.77, 828.84]","[293.77, 828.84]",-
PV8MATH,CTGAN,"[293.77, 828.84]","[293.77, 828.84]",✓
PV8MATH,GReaT_DistilGPT2,"[293.77, 828.84]","[323.59, 828.84]",✗
PV8MATH,GReaT_GPT2,"[293.77, 828.84]","[323.59, 813.72]",✗
PV8MATH,PredLLM_DistilGPT2,"[293.77, 828.84]","[254.08, 843.56]",✗
PV8MATH,PredLLM_GPT2,"[293.77, 828.84]","[232.66, 846.62]",✗
PV8MATH,REaLTabFormer,"[293.77, 828.84]","[293.85, 870.08]",✗
PV8MATH,TabDiff,"[293.77, 828.84]","[293.77, 828.83]",✗
PV8MATH,TabSyn,"[293.77, 828.84]","[295.57, 828.78]",✗
PV8MATH,Tabula_DistilGPT2,"[293.77, 828.84]","[306.87, 843.84]",✗
PV8MATH,Tabula_GPT2,"[293.77, 828.84]","[378.74, 838.74]",✗
PV8MATH,TapTap_DistilGPT2,"[293.77, 828.84]","[211.96, 832.24]",✗
PV8MATH,TapTap_GPT2,"[293.77, 828.84]","[278.86, 828.88]",✗
PV9MATH,REAL,"[269.98, 841.66]","[269.98, 841.66]",-
PV9MATH,CTGAN,"[269.98, 841.66]","[269.98, 841.66]",✓
PV9MATH,GReaT_DistilGPT2,"[269.98, 841.66]","[337.25, 841.66]",✗
PV9MATH,GReaT_GPT2,"[269.98, 841.66]","[308.79, 838.31]",✗
PV9MATH,PredLLM_DistilGPT2,"[269.98, 841.66]","[270.24, 842.06]",✗
PV9MATH,PredLLM_GPT2,"[269.98, 841.66]","[180.32, 834.99]",✗
PV9MATH,REaLTabFormer,"[269.98, 841.66]","[186.38, 887.52]",✗
PV9MATH,TabDiff,"[269.98, 841.66]","[269.99, 841.66]",✗
PV9MATH,TabSyn,"[269.98, 841.66]","[269.98, 841.51]",✗
PV9MATH,Tabula_DistilGPT2,"[269.98, 841.66]","[368.1, 831.02]",✗
PV9MATH,Tabula_GPT2,"[269.98, 841.66]","[365.82, 846.42]",✗
PV9MATH,TapTap_DistilGPT2,"[269.98, 841.66]","[269.93, 883.99]",✗
PV9MATH,TapTap_GPT2,"[269.98, 841.66]","[236.7, 841.66]",✗
SCHSIZE,REAL,"[315.0, 4020.0]","[315.0, 4020.0]",-
SCHSIZE,CTGAN,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,GReaT_DistilGPT2,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,GReaT_GPT2,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,PredLLM_DistilGPT2,"[315.0, 4020.0]","[314.71, 4018.29]",✗
SCHSIZE,PredLLM_GPT2,"[315.0, 4020.0]","[314.71, 4018.29]",✗
SCHSIZE,REaLTabFormer,"[315.0, 4020.0]","[164.91, 4018.29]",✗
SCHSIZE,TabDiff,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,TabSyn,"[315.0, 4020.0]","[315.0, 4020.0]",✓
SCHSIZE,Tabula_DistilGPT2,"[315.0, 4020.0]","[90.0, 4020.0]",✗
SCHSIZE,Tabula_GPT2,"[315.0, 4020.0]","[315.0, 4020.5]",✗
SCHSIZE,TapTap_DistilGPT2,"[315.0, 4020.0]","[63.37, 4019.96]",✗
SCHSIZE,TapTap_GPT2,"[315.0, 4020.0]","[314.71, 4019.96]",✗
